day,current,current_theoretical,temperature,speed_rpm,friction_torque,I_obs,I_theo,T,delta_I,F,current_s,current_theoretical_s,temperature_s,norm_current,norm_temperature,norm_F,norm_abs_delta,HI1,HI2_like
0,0.1137,0.109702,35.0,3000,0.004498,0.1137,0.109702,35.0,0.0039980000000000016,0.004498,0.1222,0.11851439999999999,35.08,0.0,0.0,0.0,0.18489742309044196,0.0,0.018489742309044196
20,0.113,0.114077,35.0,3000,0.004677,0.113,0.114077,35.0,-0.0010769999999999946,0.004677,0.1235,0.1207435,35.083333333333336,0.0008925016133682982,0.00028686173264521567,0.0029153569276372496,0.04980853543481864,0.0014793729972178145,0.005632695025332562
40,0.1237,0.118483,35.1,3000,0.004858,0.1237,0.118483,35.1,0.005216999999999999,0.004858,0.12715714285714286,0.122983,35.114285714285714,0.00340327538284396,0.0029505778214901526,0.005863287675695046,0.2412731006160168,0.004173740173071079,0.027077083515822793
60,0.1351,0.122921,35.2,3000,0.00504,0.1351,0.122921,35.2,0.012178999999999995,0.00504,0.12965,0.125233125,35.1375,0.005114720784302946,0.004948364888124314,0.008827505333963094,0.5632480529811132,0.006380924197448272,0.060886465029939316
80,0.1255,0.127389,35.1,3000,0.005223,0.1255,0.127389,35.1,-0.0018890000000000018,0.005223,0.131,0.12749377777777776,35.144444444444446,0.0060415493828008095,0.00554599349780098,0.011808009902441408,0.0873614887988607,0.007960699387675053,0.014049654353156842
100,0.13,0.131889,35.1,3000,0.005407,0.13,0.131889,35.1,-0.0018890000000000018,0.005407,0.13553333333333337,0.13199422222222223,35.17777777777778,0.009153862701213367,0.008414610824249467,0.014804801381129988,0.0873614887988607,0.010983840863791405,0.016789812341737126
120,0.1491,0.13642,35.3,3000,0.005593,0.1491,0.13642,35.3,0.012679999999999997,0.005593,0.13977777777777778,0.13652644444444445,35.21111111111111,0.012067842327766259,0.011283228150697955,0.017834166680239086,0.586418040216809,0.013929133015718088,0.06930670857240345
140,0.1471,0.140984,35.3,3000,0.00578,0.1471,0.140984,35.3,0.00611600000000001,0.00578,0.14334444444444444,0.14109044444444444,35.23333333333333,0.014516500600340827,0.01319563970166341,0.020879818889558466,0.28284958469763494,0.01647948982183152,0.04101959378540088
160,0.1418,0.145579,35.2,3000,0.005969,0.1418,0.145579,35.2,-0.003778999999999977,0.005969,0.14679999999999999,0.14568644444444445,35.25555555555555,0.01688887668373861,0.015108051252629475,0.023958044919298364,0.17476922507723253,0.019006920479962698,0.03223170516531072
180,0.1545,0.150206,35.3,3000,0.006158,0.1545,0.150206,35.3,0.004293999999999992,0.006158,0.14993333333333334,0.15031477777777777,35.27777777777777,0.019040034418523758,0.01702046280359493,0.02703627094903826,0.19858667702610205,0.021434802881218067,0.03648980577554938
200,0.1512,0.154867,35.3,3000,0.00635,0.1512,0.154867,35.3,-0.0036670000000000036,0.00635,0.15326666666666666,0.15497566666666668,35.31111111111111,0.021328500093827092,0.01988908013004403,0.030163357709408943,0.1695895073718487,0.024132816266524127,0.03579474583068348
220,0.1558,0.159559,35.3,3000,0.006542,0.1558,0.159559,35.3,-0.0037590000000000123,0.006542,0.15605555555555556,0.15966933333333333,35.333333333333336,0.02324318304216422,0.021801491681010095,0.033290444469779634,0.17384427548698683,0.026471386269598787,0.037942869446357955
240,0.1662,0.164285,35.4,3000,0.006736,0.1662,0.164285,35.4,0.001915,0.006736,0.1592,0.1643958888888889,35.355555555555554,0.02540196899586704,0.02371390323197555,0.03645010505057085,0.08856392326618215,0.028931203462235076,0.03129614798192568
260,0.1537,0.169044,35.3,3000,0.006931,0.1537,0.169044,35.3,-0.015343999999999997,0.006931,0.16465555555555556,0.16915566666666668,35.4,0.029147424484446828,0.02753872633390707,0.03962605254157233,0.7096213256377538,0.0324932046743328,0.09679264006214258
280,0.16,0.173837,35.4,3000,0.007127,0.16,0.173837,35.4,-0.013836999999999988,0.007127,0.16816666666666666,0.17394888888888888,35.43333333333333,0.031557941662433,0.03040734366035556,0.04281828694278408,0.6399263740126169,0.03526894291014039,0.09210713539693204
300,0.1742,0.178663,35.5,3000,0.007325,0.1742,0.178663,35.5,-0.004462999999999995,0.007325,0.17214444444444443,0.17877566666666667,35.46666666666667,0.03428884403496165,0.03327596098680466,0.046043095164416355,0.20640250106369215,0.0382002553206394,0.05124698897579545
320,0.1754,0.183523,35.5,3000,0.007524,0.1754,0.183523,35.5,-0.008122999999999991,0.007524,0.1787222222222222,0.18363644444444444,35.52222222222222,0.03880474963422689,0.0380569898642186,0.0492841902962589,0.3756682760789539,0.042323001911936435,0.07230416233619753
340,0.1909,0.188417,35.6,3000,0.007725,0.1909,0.188417,35.6,0.0024829999999999852,0.007725,0.1832,0.1885313333333333,35.55555555555556,0.04187892185805106,0.0409256071906677,0.052557859248521965,0.11483249162920572,0.0454258870112392,0.04893595016832069
360,0.1861,0.193345,35.6,3000,0.007927,0.1861,0.193345,35.6,-0.0072450000000000014,0.007927,0.18988888888888888,0.19346066666666664,35.611111111111114,0.046471109646493085,0.04570663606808225,0.05584781511099529,0.3350629890670965,0.04960006184338669,0.07513917919395072
380,0.187,0.198308,35.6,3000,0.008131,0.187,0.198308,35.6,-0.011308000000000012,0.008131,0.19512222222222222,0.19842455555555555,35.64444444444444,0.050064000756719323,0.04857525339453013,0.05917034479388914,0.5229664983258427,0.05295347169729092,0.09698206367308437
400,0.215,0.203306,35.8,3000,0.008336,0.215,0.203306,35.8,0.01169400000000001,0.008336,0.20013333333333333,0.20342333333333334,35.67777777777778,0.053504327488592004,0.05144387072097923,0.06250916138699326,0.5408180254176161,0.05624392799950989,0.10172058308959123
420,0.2065,0.208339,35.7,3000,0.008542,0.2065,0.208339,35.7,-0.0018390000000000073,0.008542,0.20616666666666666,0.2084572222222222,35.72222222222222,0.05764645036089104,0.05526869382291075,0.06586426489030765,0.08504911482324262,0.060047134138590794,0.05979227767263112
440,0.2139,0.213408,35.8,3000,0.00875,0.2139,0.213408,35.8,0.0004920000000000202,0.00875,0.20993333333333333,0.21352644444444444,35.75555555555556,0.060232416573983816,0.05813731114935985,0.06925194221404259,0.02275375992008533,0.06297022946307959,0.05596077455243798
460,0.2071,0.218512,35.7,3000,0.008959,0.2071,0.218512,35.7,-0.011412000000000005,0.008959,0.21617777777777777,0.21863133333333332,35.8,0.06451947560571873,0.061962134251290754,0.07265590644798775,0.5277762361951285,0.0668557581296273,0.11020581632605272
480,0.2193,0.223652,35.8,3000,0.00917,0.2193,0.223652,35.8,-0.004351999999999995,0.00917,0.22204444444444443,0.2237721111111111,35.84444444444445,0.0685471751942526,0.06578695735322289,0.07609244450235345,0.20126903083781944,0.07063597588388196,0.08112930629835186
500,0.2297,0.228828,35.9,3000,0.009382,0.2297,0.228828,35.9,0.0008719999999999839,0.009382,0.22566666666666668,0.22894899999999996,35.87777777777778,0.07103397456141557,0.06865557467967137,0.07954526946692943,0.04032780213478298,0.07353724780199658,0.06736875734831627
520,0.2248,0.23404,35.9,3000,0.009596,0.2248,0.23404,35.9,-0.009239999999999998,0.009596,0.23054444444444444,0.23416222222222224,35.922222222222224,0.07438276266627611,0.0724803977816029,0.08303066825192594,0.4273267106942678,0.07702905664431892,0.10920156624790699
540,0.2423,0.239289,36.0,3000,0.009811,0.2423,0.239289,36.0,0.003010999999999986,0.009811,0.23738888888888887,0.2394121111111111,35.97777777777778,0.07908174551956562,0.07726142665901745,0.0865323539471327,0.13925116081173536,0.08132539469710447,0.08464360733364555
560,0.2398,0.244575,36.0,3000,0.010028,0.2398,0.244575,36.0,-0.004774999999999974,0.010028,0.2439333333333333,0.24469877777777777,36.03333333333333,0.08357476646207783,0.08204245553643139,0.09006661346275999,0.22083171467154955,0.0855404507271873,0.09691738355161339
580,0.2476,0.249898,36.1,3000,0.010246,0.2476,0.249898,36.1,-0.0022980000000000222,0.010246,0.24880000000000002,0.25002266666666667,36.07777777777778,0.08691592634802073,0.08586727863836352,0.09361715988859753,0.10627670791941961,0.08905162854529117,0.08858984257774632
600,0.2504,0.255258,36.1,3000,0.010466,0.2504,0.255258,36.1,-0.0048579999999999735,0.010466,0.25479999999999997,0.2553838888888889,36.13333333333333,0.09103516456356671,0.09064830751577746,0.09720028013485561,0.224670255471076,0.09311558360395998,0.10430195939237032
620,0.2755,0.260657,36.3,3000,0.010687,0.2755,0.260657,36.3,0.014842999999999995,0.010687,0.2601444444444445,0.2607828888888889,36.17777777777778,0.09470433786296979,0.09447313061770898,0.10079968729132398,0.6864513384020581,0.0967914687138416,0.15382123610556342
640,0.266,0.266092,36.2,3000,0.01091,0.266,0.266092,36.2,-9.199999999998099e-05,0.01091,0.26543333333333335,0.2662197777777778,36.22222222222222,0.09833537006778438,0.09829795371964051,0.10443166826821283,0.004254768115136853,0.10046159116830555,0.08891795578548366
660,0.2631,0.271567,36.2,3000,0.011134,0.2631,0.271567,36.2,-0.008467000000000002,0.011134,0.26970000000000005,0.2716947777777778,36.25555555555556,0.10126460613217267,0.1011665710460896,0.10807993615531197,0.3915774090312086,0.10363036462305482,0.1302713776505555
680,0.2837,0.277079,36.4,3000,0.01136,0.2837,0.277079,36.4,0.006620999999999988,0.01136,0.27428888888888886,0.2772083333333334,36.288888888888884,0.10441506054517355,0.10403518837253749,0.11176077786283165,0.30620456185137906,0.10691008717182668,0.12449904263263509
700,0.2729,0.282631,36.3,3000,0.011588,0.2729,0.282631,36.3,-0.009731000000000045,0.011588,0.28055555555555556,0.28276066666666666,36.333333333333336,0.10871737601474384,0.10786001147446961,0.11547419339077183,0.45003422313484204,0.11091078918829879,0.1426347195916851
