feature,Correlation,Monotonicity,Robustness,J_score,HI_weight
fused_rms_vector,0.7323433953099128,0.6999482967320565,0.9831832512891302,0.7936158128779853,0.10069175454121927
fused_rms_mean,0.7327633196842354,0.6974202706878507,0.983132650473918,0.792372181723292,0.10053396609883167
fused_std_mean,0.7325502700853286,0.6944472630356283,0.9834626800031764,0.7909073080834954,0.10034810702876425
fused_envelope_rms_mean,0.7325494997686175,0.6944431153195015,0.9834626559538228,0.7909050312778483,0.10034781815403213
fused_rms_max,0.7270463293913861,0.6926288236608268,0.9823750277604366,0.7886726640833086,0.10006458164846993
fused_std_max,0.7269701179756747,0.6916303525487959,0.9825721804343883,0.7882067009282723,0.10000546154668917
fused_envelope_rms_max,0.7269693019144811,0.6915997937086602,0.9825721997982353,0.7881908355237179,0.10000344858853591
fused_total_energy_sum,0.6704469142848734,0.7000522264530821,0.9851063436346261,0.7834630834983344,0.09940360463539524
fused_total_energy_mean,0.6704469142848734,0.7000522264530821,0.9851063436346261,0.7834630834983344,0.09940360463539524
fused_variance_mean,0.6703869900694568,0.6968392185656612,0.9852382733620707,0.7818398485280853,0.09919765312266729
