day,current,current_theoretical,temperature,speed_rpm,friction_torque,domain_unit,time_index,delta_I,current_s,current_theoretical_s,temperature_s,friction_torque_s,delta_I_s,fused_rms_vector,fused_rms_mean,fused_std_mean,fused_envelope_rms_mean,fused_rms_max,fused_std_max,fused_envelope_rms_max,fused_total_energy_sum,fused_total_energy_mean,fused_variance_mean,HI_flywheel,life_ratio,RUL_ratio
0,0.1137,0.109702,35.0,3000,0.004498,attachment1,0,0.003998,0.1222,0.1185143999999999,35.08,0.0048592,0.0036856,0.0,0.0,0.5103643217461075,0.0,0.0,0.7290918882087251,0.0,0.0,0.0,0.1822729720521812,0.0313462424329901,0.0,1.0
20,0.113,0.114077,35.0,3000,0.004677,attachment1,1,-0.0010769999999999,0.1235,0.1207435,35.083333333333336,0.0049505,0.0027564999999999,0.0008887921772093,0.0008925016133682,0.3862201108196497,0.001092238941426,0.0008925016133682,0.5452956885845835,0.0015259035923079,0.0008677720389754,0.0006805276551152,0.1394904486393949,0.0322963418711717,0.0057142857142857,0.9942857142857144
40,0.1237,0.118483,35.1,3000,0.004858,attachment1,2,0.0052169999999999,0.1271571428571428,0.122983,35.114285714285714,0.0050422857142857,0.0041741428571428,0.0033759987117001,0.0034032753828439,0.590634537478347,0.0030216534635209,0.0034032753828439,0.8257362973104089,0.003059924963076,0.0032214309085519,0.0032448312363701,0.2164696450367957,0.0331553107303378,0.0114285714285714,0.9885714285714284
60,0.1351,0.122921,35.2,3000,0.00504,attachment1,3,0.0121789999999999,0.12965,0.125233125,35.1375,0.0051345,0.0044168749999999,0.0050930740870534,0.0051147207843029,0.6283480553599194,0.0047226486125472,0.0051147207843029,0.8737539976481152,0.0049483648881243,0.0049704094693065,0.0050564962206404,0.2323069381046563,0.0332327007039634,0.0171428571428571,0.9828571428571428
80,0.1255,0.127389,35.1,3000,0.005223,attachment1,4,-0.001889,0.131,0.1274937777777777,35.144444444444446,0.0052272222222222,0.0035062222222222,0.0060262430269123,0.0060415493828008,0.5042027826519013,0.0059391062686962,0.0060415493828008,0.6936070600389083,0.0061507823761013,0.0059395070102109,0.0058681048230508,0.1889039551832947,0.0332327007039634,0.0228571428571428,0.9771428571428572
100,0.13,0.131889,35.1,3000,0.005407,attachment1,5,-0.001889,0.1355333333333333,0.1319942222222222,35.17777777777778,0.0054116666666666,0.0035391111111111,0.0091285273516682,0.0091538627012133,0.5144197099265675,0.0089468341208323,0.0091538627012133,0.7001131980085974,0.0092334158959154,0.0089849603709128,0.008895124544276,0.1958833163358528,0.0332327007039634,0.0285714285714285,0.9714285714285714
120,0.1491,0.13642,35.3,3000,0.005593,attachment1,6,0.0126799999999999,0.1397777777777777,0.1365264444444444,35.21111111111111,0.0055975555555555,0.0032513333333333,0.0120465897419414,0.0120678423277662,0.4811713843393678,0.0119702536917892,0.0120678423277662,0.6431844907738109,0.0123401905216075,0.0119261584222674,0.0117932273657923,0.1876300587081367,0.0342593836055476,0.0342857142857142,0.9657142857142856
140,0.1471,0.140984,35.3,3000,0.00578,attachment1,7,0.006116,0.1433444444444444,0.1410904444444444,35.23333333333333,0.0057846666666666,0.002254,0.0144954950657368,0.0145165006003408,0.3491482871866518,0.0146722788495599,0.0145165006003408,0.4458902528821537,0.0154673922368888,0.014376463702981,0.0140541992858037,0.1434135718358828,0.036419977405576,0.04,0.96
160,0.1418,0.145579,35.2,3000,0.005969,attachment1,8,-0.0037789999999999,0.1467999999999999,0.1456864444444444,35.25555555555555,0.0059731111111111,0.0011135555555555,0.0168739357710569,0.0168888766837386,0.1969174821164211,0.0173887886708577,0.0168888766837386,0.2202855227440031,0.0186168780499037,0.0167892705991943,0.0162655877828504,0.0918592196720262,0.0396269767932082,0.0457142857142857,0.9542857142857144
180,0.1545,0.150206,35.3,3000,0.006158,attachment1,9,0.0042939999999999,0.1499333333333333,0.1503147777777777,35.27777777777777,0.0061628888888888,-0.0003814444444444,0.0190467588892277,0.0190400344185237,0.1007321929604693,0.0201197831556821,0.0190848642232172,0.1597052810961597,0.0217886479606522,0.0190848642232172,0.0183331843532986,0.0601668138439311,0.0434546490825793,0.0514285714285714,0.9485714285714286
200,0.1512,0.154867,35.3,3000,0.00635,attachment1,10,-0.003667,0.1532666666666666,0.1549756666666666,35.31111111111111,0.006354,-0.001709,0.0213841479014444,0.021328500093827,0.2896259897911883,0.0231999343254527,0.0216994854779427,0.3380773922695678,0.0249827019691343,0.0216994854779427,0.020824703106503,0.1307728856072434,0.0476766006671117,0.0571428571428571,0.9428571428571428
220,0.1558,0.159559,35.3,3000,0.006542,attachment1,11,-0.003759,0.1560555555555555,0.1596693333333333,35.333333333333336,0.0065464444444444,-0.0036137777777777,0.0233377953271165,0.0232431830421642,0.5579892549803133,0.025959898137331,0.0238739316085128,0.7148838896154542,0.0281990400753499,0.0238739316085128,0.0227385910657602,0.229092147661416,0.0520831178965154,0.0628571428571428,0.9371428571428572
240,0.1662,0.164285,35.4,3000,0.006736,attachment1,12,0.001915,0.1592,0.1643958888888889,35.355555555555554,0.0067402222222222,-0.0051958888888888,0.025519737328224,0.025401968995867,0.7621051437418995,0.0287343466127359,0.0261870912115806,1.0,0.0314376622792992,0.0261870912115806,0.024811145978505,0.3044460759388529,0.0573667160422455,0.0685714285714285,0.9314285714285714
