day,current,current_theoretical,temperature,speed_rpm,domain_unit,time_index,delta_I,current_s,current_theoretical_s,temperature_s,friction_torque_s,delta_I_s,fused_rms_vector,fused_rms_mean,fused_std_mean,fused_envelope_rms_mean,fused_rms_max,fused_std_max,fused_envelope_rms_max,fused_total_energy_sum,fused_total_energy_mean,fused_variance_mean,HI_flywheel,life_ratio_observed
0,0.1137,0.1097,35.0,3000,attachment2,0,0.0039999999999999,0.1117967741935483,0.1134012903225806,35.00967741935484,,-0.0016045161290322,0.0,0.0,0.2221857461266104,0.0,0.0,0.3174082087523007,0.0,0.0,0.0,0.0793520521880751,0.0111928436691202,0.0
1,0.1088,0.109945,35.0,3000,attachment2,1,-0.001145,0.112434375,0.1135255625,35.0125,,-0.0010911874999999,0.0,0.0,0.1511024441977766,0.0,0.0,0.2158606345682523,0.0,0.0,0.0,0.053965158642063,0.0111928436691202,0.0002857142857142
2,0.1154,0.11019,35.0,3000,attachment2,2,0.00521,0.1125878787878787,0.1136498787878788,35.012121212121215,,-0.001062,0.0,0.0,0.1470606983108246,0.0,0.0,0.2100867118726067,0.0,0.0,0.0,0.0525216779681516,0.0111928436691202,0.0005714285714285
3,0.1226,0.110436,35.1,3000,attachment2,3,0.0121639999999999,0.1124941176470588,0.1137742647058823,35.01176470588236,,-0.0012801470588235,0.0,0.0,0.1772686632873203,0.0,0.0,0.2532409475533148,0.0,0.0,0.0,0.0633102368883287,0.0112060078563593,0.0008571428571428
4,0.1088,0.110681,35.0,3000,attachment2,4,-0.001881,0.1128428571428571,0.1138987142857142,35.01428571428571,,-0.0010558571428571,0.0,0.0,0.1462100647316756,0.0,0.0,0.2088715210452509,0.0,0.0,0.0,0.0522178802613127,0.0112728568770845,0.0011428571428571
5,0.1091,0.110927,35.0,3000,attachment2,5,-0.0018269999999999,0.1127249999999999,0.1140232222222222,35.013888888888886,,-0.0012982222222222,0.0,0.0,0.1797716257651861,0.0,0.0,0.2568166082359802,0.0,0.0,0.0,0.064204152058995,0.0112931306814301,0.0014285714285714
6,0.1238,0.111173,35.1,3000,attachment2,6,0.012627,0.1129297297297297,0.1141477837837837,35.016216216216215,,-0.001218054054054,0.0,0.0,0.1686703199336307,0.0,0.0,0.2409575999051868,0.0,0.0,0.0,0.0602393999762967,0.0113081080692482,0.0017142857142857
7,0.1176,0.111419,35.0,3000,attachment2,7,0.0061809999999999,0.1126736842105263,0.1142723947368421,35.01578947368421,,-0.0015987105263157,0.0,0.0,0.2213818139330139,0.0,0.0,0.3162597341900199,0.0,0.0,0.0,0.0790649335475049,0.0113371242047646,0.002
8,0.1079,0.111665,35.0,3000,attachment2,8,-0.003765,0.1125666666666666,0.1143970769230769,35.01538461538461,,-0.0018304102564102,0.0,0.0,0.253466488232562,0.0,0.0,0.3620949831893743,0.0,0.0,0.0,0.0905237457973435,0.0113747679354412,0.0022857142857142
9,0.1163,0.111912,35.0,3000,attachment2,9,0.004388,0.1127775,0.114521825,35.0175,,-0.001744325,0.0,0.0,0.2415458122231872,0.0,0.0,0.3450654460331246,0.0,0.0,0.0,0.0862663615082811,0.0114146490772528,0.0025714285714285
10,0.1085,0.112159,35.0,3000,attachment2,10,-0.0036589999999999,0.1130878048780487,0.1146466097560975,35.01951219512195,,-0.0015588048780487,0.0,0.0,0.2158558699587282,0.0,0.0,0.3083655285124689,0.0,0.0,0.0,0.0770913821281172,0.0114569301925875,0.0028571428571428
11,0.1087,0.112405,35.0,3000,attachment2,11,-0.003705,0.1132833333333333,0.1147714761904761,35.02142857142857,,-0.0014881428571428,0.0,0.0,0.2060709300919864,0.0,0.0,0.2943870429885521,0.0,0.0,0.0,0.073596760747138,0.0114569301925875,0.0031428571428571
